Date	Plot	Section	E_s_normal	E_s_infertile	E_t_normal	E_t_infertile	Field_remarks	General_remarks
2019-07-16	Eri4	C	60	163	0	0	No remarks	No remarks
2019-07-16	Eri4	D	72	152	0	0	No remarks	No remarks
2020-07-23	Eri1	A	2	43	0	0	No remarks	No remarks
2020-07-23	Eri1	B	6	47	0	0	No remarks	No remarks
2020-07-23	Eri1	C	3	42	0	0	No remarks	No remarks
2020-07-23	Eri1	D	7	31	0	0	No remarks	No remarks
2020-07-23	Eri4	A	35	200	0	0	No remarks	No remarks
2020-07-23	Eri4	B	49	172	0	0	No remarks	No remarks
2020-07-23	Eri4	C	28	122	0	0	No remarks	No remarks
2020-07-23	Eri4	D	32	171	0	0	No remarks	No remarks
2020-08-06	Eri2	A	19	1	1	0	No remarks	No remarks
2020-08-06	Eri2	B	0	2	0	0	No remarks	No remarks
2020-08-06	Eri2	C	0	0	0	0	No remarks	No remarks
2020-08-06	Eri2	D	3	0	0	0	No remarks	No remarks
2020-08-06	Eri3	A	0	0	0	0	No remarks	No remarks
2020-08-06	Eri3	B	6	0	0	0	No remarks	No remarks
2020-08-06	Eri3	C	3	1	0	0	No remarks	No remarks
2020-08-06	Eri3	D	9	0	0	0	No remarks	No remarks
